Complaint ID,Customer ID,Product,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days),Sentiment,Region
820407,28631,Insurance Plan,Delivery,24-05-2024,11-06-2024 00:00,Resolved,18,Neutral,Andhra Pradesh
262537,23083,Digital Scale,Product Quality,30-06-2024,28-07-2024 00:00,Resolved,28,Neutral,Chhattisgarh
459273,52729,Digital Scale,Service,10-05-2024,20-05-2024 00:00,Resolved,10,Neutral,Rajasthan
271580,63115,Personal Safe,Delivery,26-10-2023,Unresolved,Unresolved,0,Neutral,Arunachal Pradesh
282178,17532,Fitness Tracker,Product Quality,18-07-2024,16-08-2024 00:00,Resolved,29,Neutral,Meghalaya
608969,98598,Customer Support Service,Delivery,12-11-2023,20-11-2023 00:00,Resolved,8,Neutral,Assam
425538,86606,Cloud Storage,Product Quality,07-02-2024,27-02-2024 00:00,Resolved,20,Neutral,Goa
630128,19045,Fitness Tracker,Service,12-08-2024,Unresolved,Unresolved,0,Neutral,Bihar
588941,18285,Digital Scale,Service,24-08-2024,28-08-2024 00:00,Resolved,4,Neutral,Sikkim
921215,73034,Insurance Plan,Billing,05-12-2023,03-01-2024 00:00,Resolved,29,Neutral,Chhattisgarh
655434,96496,Home Security System,Product Quality,19-02-2024,10-03-2024 00:00,Resolved,20,Neutral,Andhra Pradesh
776011,54527,Home Security System,Delivery,31-10-2023,09-11-2023 00:00,Resolved,9,Neutral,Odisha
226694,34562,Home Security System,Technical Support,01-12-2023,11-12-2023 00:00,Resolved,10,Positive,Arunachal Pradesh
704514,40651,Home Security System,Service,20-02-2024,Unresolved,Unresolved,0,Neutral,Telangana
381559,54129,Personal Safe,Technical Support,11-03-2024,23-03-2024 00:00,Resolved,12,Positive,Assam
866567,66699,Digital Scale,Technical Support,26-12-2023,30-12-2023 00:00,Resolved,4,Positive,Haryana
902524,55819,Digital Scale,Service,02-07-2024,11-07-2024 00:00,Resolved,9,Neutral,Bihar
593413,85069,Home Security System,Billing,31-12-2023,Unresolved,Unresolved,0,Neutral,Jharkhand
100216,73029,Weight Loss Program,Billing,16-05-2024,23-05-2024 00:00,Resolved,7,Neutral,Chhattisgarh
